Name,Publisher,Global_Sales
AMF Xtreme Bowling,Mastertronic,0.02
Amped: Freestyle Snowboarding,Microsoft Game Studios,0.82
Amped 2,Microsoft Game Studios,0.25
Amped 3,Take-Two Interactive,0.16
Amplitude,Sony Computer Entertainment,0.18
Anarchy Reigns,Sega,0.2
Anarchy Reigns,Sega,0.17
Angry Birds Star Wars,Activision,0.29
Angry Birds Star Wars,Activision,0.28
Angry Birds Star Wars,Activision,0.21
Angry Birds Star Wars,Activision,0.16
Angry Birds Trilogy,Activision,0.63
Angry Birds Trilogy,Activision,0.26
Angry Birds Trilogy,Activision,0.16
Anima - Gate of Memories,Avanquest,0.02
Animal Crossing,Nintendo,3.15
Animal Crossing: Amiibo Festival,Nintendo,0.41
Animal Crossing: City Folk,Nintendo,4.62
Animal Crossing: Happy Home Designer,Nintendo,3.05
Animal Crossing: New Leaf,Nintendo,9.16
Animal Crossing: Wild World,Nintendo,12.13
AniMates!,Lexicon Entertainment,0.03
Anno 1701: Dawn of Discovery,Touchstone,0.13
Anno 2070,Ubisoft,1.43
Anno 2205,Ubisoft,0.25
Antz Extreme Racing,Empire Interactive,0.04
Antz Extreme Racing,Empire Interactive,0.02
Anubis II,Metro 3D,0.07
Apache: Air Assault,Activision,0.2
Apache: Air Assault,Activision,0.16
Apache: Air Assault,Just Flight,0.03
APB Reloaded,Iceberg Interactive,0.04
Ape Escape,Sony Computer Entertainment,1.63
Ape Escape: On the Loose,Sony Computer Entertainment,0.7
Ape Escape 2,Sony Computer Entertainment,0.63
Ape Escape 3,Sony Computer Entertainment,0.13
Ape Escape Academy,Sony Computer Entertainment,0.33
Apex,Atari,0.14
Apollo Justice: Ace Attorney,Capcom,0.99
Aquaman: Battle for Atlantis,TDK Mediactive,0.01
Aquapazza: Aquaplus Dream Match,Aqua Plus,0.11
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,Midway Games,0.07
Arcana Heart,AQ Interactive,0.16
Arcana Heart 3,PQube,0.2
Arcania: Gothic 4,JoWood Productions,0.19
Arcania: Gothic 4,JoWood Productions,0.09
Archer Maclean's Mercury,Ignition Entertainment,0.56
Arc Rise Fantasia,Marvelous Interactive,0.19
Arc the Lad: End of Darkness,Sony Computer Entertainment,0.06
Arc the Lad: Twilight of the Spirits,Sony Computer Entertainment,0.36
Arctic Thunder,Midway Games,0.36
Area 51,Midway Games,0.45
Area 51,Midway Games,0.29
Arena Football,Electronic Arts,0.56
Arena Football,Electronic Arts,0.15
Arkanoid DS,Square Enix,0.06
ArmA II,505 Games,0.14
ArmA III,Bohemia Interactive,0.11
Armed and Dangerous,LucasArts,0.13
Armored Core: For Answer,Ubisoft,0.19
Armored Core: For Answer,Ubisoft,0.15
Armored Core: Last Raven,505 Games,0.18
Armored Core: Nexus,Indie Games,0.26
Armored Core: Nine Breaker,505 Games,0.07
Armored Core: Verdict Day,From Software,0.12
Armored Core 2,Ubisoft,0.79
Armored Core 2: Another Age,Metro 3D,0.41
Armored Core 3,Metro 3D,0.67
Armored Core 3 Portable,From Software,0.08
Armored Core 4,505 Games,0.2
Armored Core 4,505 Games,0.25
Armored Core V,Namco Bandai Games,0.39
Armored Core V,Namco Bandai Games,0.21
Army Corps of Hell,Square Enix,0.09
Army Men: Air Attack 2,3DO,0.3
Army Men: Green Rogue,3DO,0.13
Army Men: Major Malfunction,Global Star,0.02
Army Men: Sarge's Heroes 2,3DO,0.24
Army Men: Sarge's Heroes 2,Midas Interactive Entertainment,0.17
Army Men: Sarge's War,Global Star,0.15
Army of Two,Electronic Arts,1.64
Army of Two,Electronic Arts,1.17
Army of Two: The 40th Day,Electronic Arts,0.95
Army of Two: The 40th Day,Electronic Arts,0.85
Army of Two: The 40th Day,Electronic Arts,0.32
Army of Two: The Devil's Cartel,Electronic Arts,0.28
Army of Two: The Devil's Cartel,Electronic Arts,0.26
Ar Nosurge: Ode to an Unborn Star,Tecmo Koei,0.16
Arslan: The Warriors of Legend,Tecmo Koei,0.09
Art Academy,Nintendo,2.52
Art Academy: Home Studio,Nintendo,0.01
Art Academy: Lessons for Everyone,Nintendo,0.46
Art of Fighting Anthology,Crave Entertainment,0.04
Ar tonelico: Melody of Elemia,505 Games,0.1
Ar tonelico Qoga: Knell of Ar Ciel,Tecmo Koei,0.24
Arx Fatalis,Mindscape,0.05
Asphalt: Injection,Ubisoft,0.22
Asphalt: Urban GT,Ubisoft,0.59
Asphalt 3D,Ubisoft,0.49
Assassin's Creed,Ubisoft,5.54
Assassin's Creed,Ubisoft,4.82
Assassin's Creed: Altair's Chronicles,Ubisoft,0.05
Assassin's Creed: Bloodlines,Ubisoft,1.23
Assassin's Creed: Brotherhood,Ubisoft,3.49
Assassin's Creed: Brotherhood,Ubisoft,2.82
Assassin's Creed: Brotherhood,Ubisoft,0.59
Assassin's Creed: Revelations,Ubisoft,4.22
Assassin's Creed: Revelations,Ubisoft,4.19
Assassin's Creed: Revelations,Ubisoft,0.74
Assassin's Creed: Rogue,Ubisoft,1.29
Assassin's Creed: Rogue,Ubisoft,1.01
Assassin's Creed: Rogue,Ubisoft,0.08
Assassin's Creed: Unity,Ubisoft,3.96
Assassin's Creed: Unity,Ubisoft,3.5
Assassin's Creed: Unity,Ubisoft,0.55
Assassin's Creed Chronicles,Ubisoft,0.07
Assassin's Creed Chronicles: China,Ubisoft,0.04
Assassin's Creed II,Ubisoft,5.55
Assassin's Creed II,Ubisoft,5.26
Assassin's Creed II,Ubisoft,0.55
Assassin's Creed II: Discovery,Ubisoft,0.28
Assassin's Creed III,Ubisoft,6.45
Assassin's Creed III,Ubisoft,5.29
Assassin's Creed III,Ubisoft,0.93
Assassin's Creed III,Ubisoft,0.35
Assassin's Creed III: Liberation,Ubisoft,1.32
Assassin's Creed IV: Black Flag,Ubisoft,3.71
Assassin's Creed IV: Black Flag,Ubisoft,3.3
Assassin's Creed IV: Black Flag,Ubisoft,2.85
Assassin's Creed IV: Black Flag,Ubisoft,0.64
Assassin's Creed IV: Black Flag,Ubisoft,0.29
Assassin's Creed Syndicate,Ubisoft,3.39
Assassin's Creed Syndicate,Ubisoft,1.3
Assassin's Creed Syndicate,Ubisoft,0.21
Assassin's Creed The Ezio Collection,Ubisoft,0.2
Assassin's Creed The Ezio Collection,Ubisoft,0.08
Assetto Corsa,505 Games,0.06
Assetto Corsa,505 Games,0.02
Astonishia Story,Ubisoft,0.03
