Name,Global_Sales,Critic_Score
Assassin's Creed: Altair's Chronicles,0.05,58
Assassin's Creed: Bloodlines,1.23,63
Assassin's Creed: Brotherhood,3.49,89
Assassin's Creed: Brotherhood,2.82,90
Assassin's Creed: Brotherhood,0.59,88
Assassin's Creed: Revelations,4.22,80
Assassin's Creed: Revelations,4.19,80
Assassin's Creed: Revelations,0.74,80
Assassin's Creed: Rogue,1.29,72
Assassin's Creed: Rogue,1.01,72
Assassin's Creed: Rogue,0.08,74
Assassin's Creed: Unity,3.96,70
Assassin's Creed: Unity,3.5,72
Assassin's Creed: Unity,0.55,70
Assassin's Creed Chronicles,0.07,70
Assassin's Creed Chronicles: China,0.04,69
Assassin's Creed II,5.55,91
Assassin's Creed II,5.26,90
Assassin's Creed II,0.55,86
Assassin's Creed II: Discovery,0.28,69
Assassin's Creed III,6.45,85
Assassin's Creed III,5.29,84
Assassin's Creed III,0.93,80
Assassin's Creed III,0.35,85
Assassin's Creed III: Liberation,1.32,70
Assassin's Creed IV: Black Flag,3.71,88
Assassin's Creed IV: Black Flag,3.3,86
Assassin's Creed IV: Black Flag,2.85,83
Assassin's Creed IV: Black Flag,0.64,84
Assassin's Creed IV: Black Flag,0.29,86
Assassin's Creed Syndicate,3.39,76
Assassin's Creed Syndicate,1.3,78
Assassin's Creed Syndicate,0.21,74
Assassin's Creed The Ezio Collection,0.2,72
Assassin's Creed The Ezio Collection,0.08,74
Assetto Corsa,0.06,73
Assetto Corsa,0.02,63
Astonishia Story,0.03,48
Astro Boy,0.09,54
Astro Boy: Omega Factor,0.09,85
Astro Boy: The Video Game,0.11,56
Astro Boy: The Video Game,0.11,48
Asura's Wrath,0.4,71
Asura's Wrath,0.24,71
Atari Anthology,0.4,66
Atari Classics Evolved,0.09,64
Atelier Annie: Alchemists of Sera Island,0.12,70
Atelier Ayesha: The Alchemist of Dusk,0.26,70
Atelier Iris: Eternal Mana,0.15,74
Atelier Iris 2: The Azoth Of Destiny,0.06,68
Atelier Shallie: Alchemists of the Dusk Sea,0.18,76
Atelier Sophie: The Alchemist of the Mysterious Book,0.12,75
Atelier Totori: The Adventurer of Arland,0.42,74
Athens 2004,0.27,61
Atomic Betty,0.03,62
Attack of the Movies 3D,0.04,38
Attack on Titan: Humanity in Chains,0.42,46
ATV Offroad Fury,2.41,82
ATV Offroad Fury: Blazin' Trails,0.57,63
ATV Offroad Fury 2,2.18,82
ATV Offroad Fury 3,1.2,78
ATV Quad Power Racing 2,0.28,70
Auto Modellista,0.39,66
Avalon Code,0.24,71
A Vampyre Story,0.02,75
Avatar: The Last Airbender,0.5,60
Avatar: The Last Airbender,0.33,64
Avatar: The Last Airbender,0.28,56
Avatar: The Last Airbender,0.11,57
A Witch's Tale,0.11,50
Azure Striker Gunvolt,0.01,77
Azurik: Rise of Perathia,0.24,52
Back to the Future: The Game,0.09,66
Back to the Future: The Game,0.05,66
Backyard Baseball,0.13,70
Backyard Baseball '09,0.04,37
Backyard Wrestling: Don't Try This at Home,0.6,51
Backyard Wrestling: Don't Try This at Home,0.17,50
Backyard Wrestling 2: There Goes the Neighborhood,0.28,46
Bad Boys: Miami Takedown,1.15,43
Bad Boys: Miami Takedown,0.18,35
Bad Boys: Miami Takedown,0.05,35
Baja: Edge of Control,0.21,61
Baja: Edge of Control,0.2,65
Bakugan: Battle Brawlers,1.38,60
Bakugan: Battle Brawlers,0.66,62
Bakugan: Battle Brawlers,0.24,60
Bakugan: Battle Brawlers,0.23,63
Baldur's Gate: Dark Alliance,1.24,87
Baldur's Gate: Dark Alliance,0.2,83
Baldur's Gate: Dark Alliance,0.14,79
Baldur's Gate: Dark Alliance,0,0.03
Baldur's Gate: Dark Alliance II,0.68,78
Baldur's Gate: Dark Alliance II,0.26,77
Ball Breakers,0.18,68
Balls of Fury,0.02,19
Band Hero,0.97,79
Band Hero,0.79,76
Band Hero,0.74,76
Band Hero,0.43,65
Bangai-O Spirits,0.08,83
Banjo-Kazooie,0.01,77
Banjo-Kazooie: Grunty's Revenge,0.33,72
Banjo-Pilot,0.1,68
Barbie Groovy Games,0.56,47
Barnyard,0.09,62
Barnyard,0.04,65
Baroque,0.13,60
Baroque,0.07,50
Baseball Advance,0.13,80
Bass Pro Shops: The Strike,0.21,63
Bass Strike,0.28,57
Baten Kaitos: Eternal Wings and the Lost Ocean,0.27,80
Baten Kaitos Origins,0.1,75
Batman: Arkham Asylum,4.23,91
Batman: Arkham Asylum,3.48,92
Batman: Arkham Asylum,0.32,91
Batman: Arkham City,5.48,96
Batman: Arkham City,4.73,94
Batman: Arkham City,0.53,91
Batman: Arkham Knight,3.95,87
Batman: Arkham Knight,1.49,85
Batman: Arkham Knight,0.13,70
Batman: Arkham Origins,2.29,76
Batman: Arkham Origins,1.88,74
Batman: Arkham Origins,0.31,74
Batman: Arkham Origins,0.31,68
Batman: Arkham Origins Blackgate,0.42,61
Batman: Arkham Origins Blackgate,0.27,68
Batman: Arkham VR,0.3,75
Batman: Dark Tomorrow,0.11,25
Batman: Dark Tomorrow,0.08,29
Batman: Return to Arkham,0.26,73
Batman: Return to Arkham,0.11,77
Batman: Rise of Sin Tzu,0.35,63
Batman: Rise of Sin Tzu,0.11,67
Batman: Rise of Sin Tzu,0.07,63
Batman: The Brave and the Bold the Videogame,0.29,74
Batman: Vengeance,0.55,68
Batman: Vengeance,0.26,70
Batman Begins,0.56,64
Batman Begins,0.21,65
Batman Begins,0.17,61
Batman Begins,0.15,66
Battalion Wars,0.4,76
Battalion Wars 2,0.34,75
Battle Arena Toshinden,1.27,69
Battle Assault 3 featuring Gundam Seed,0.03,48
Battleborn,0.26,68
Battleborn,0.15,71
Battleborn,0.08,69
Battle Engine Aquila,0.03,73
Battle Fantasia,0.09,71
Battlefield: Bad Company,1.46,83
Battlefield: Bad Company,1.34,84
Battlefield: Bad Company 2,3.47,88
Battlefield: Bad Company 2,2.95,88
Battlefield: Bad Company 2,0.72,87
Battlefield: Hardline,2.1,73
Battlefield: Hardline,1.21,71
Battlefield: Hardline,0.14,71
Battlefield 1,4.08,88
Battlefield 1,2.25,87
Battlefield 1,0.38,88
Battlefield 1942,0.03,89
Battlefield 2,0.08,91
Battlefield 2: Modern Combat,0.56,80
Battlefield 2: Modern Combat,0.44,80
Battlefield 2: Modern Combat,0.41,77
Battlefield 2142,0.03,80
Battlefield 3,7.32,84
Battlefield 3,7.17,85
Battlefield 3,2.78,89
Battlefield 4,3.59,85
Battlefield 4,3.49,80
Battlefield 4,3.48,79
Battlefield 4,2.02,81
Battlefield 4,1.35,81
Battlefield Vietnam,0.03,84
BattleForge,0.01,75
Battle Princess of Arcadias,0.02,69
Battles of Prince of Persia,0.12,64
Battlestar Galactica,0.16,66
Battlestations: Midway,0.26,73
Battlestations: Midway,0.01,76
Battlestations: Pacific,0.32,76
Battlestations: Pacific,0.03,74
Battle Worlds: Kronos,0.01,71
Battlezone,0.04,66
Bayonetta,1.21,87
Bayonetta,0.93,90
Bayonetta 2,0.76,91
B-Boy,0.05,50
Beach Spikers: Virtua Beach Volleyball,0.1,76
Beat Down: Fists of Vengeance,0.17,48
Beaterator,0.09,80
BeatMania,0.07,67
Beautiful Katamari,0.32,73
Bee Movie Game,0.33,62
Bee Movie Game,0.17,71
Bee Movie Game,0.1,65
Bejeweled 3,0.08,82
Bejeweled Twist,0.05,78
Ben 10: Alien Force,0.8,45
Ben 10: Protector of Earth,1.23,63
Ben 10: Protector of Earth,0.71,60
Ben 10 Alien Force: Vilgax Attacks,0.44,65
Ben 10 Alien Force: Vilgax Attacks,0.22,61
Ben 10 Ultimate Alien: Cosmic Destruction,0.18,51
Beowulf: The Game,0.4,51
Beowulf: The Game,0.16,51
Beowulf: The Game,0.09,44
Beyblade Evolution,0.04,49
Beyblade G-Revolution,0.2,40
BeyBlade VForce: Super Tournament Battle,0.21,33
Beyond: Two Souls,1.63,70
Big Bang Mini,0.06,78
Big Beach Sports,1.66,44
Big Brain Academy,6.62,74
Big Brain Academy: Wii Degree,3.79,68
Big Mutha Truckers,0.84,62
Big Mutha Truckers,0.19,59
Big Mutha Truckers,0.08,63
Big Mutha Truckers 2,0.2,51
Big Mutha Truckers 2,0.07,50
Billy Hatcher and the Giant Egg,0.25,71
Binary Domain,0.33,72
Binary Domain,0.19,74
Bionic Commando,0.36,71
Bionic Commando,0.28,70
Bionicle,0.43,51
Bionicle,0.21,47
Bionicle,0.06,49
Bionicle Heroes,0.11,51
Bionicle Heroes,0.07,59
Bionicle Heroes,0.06,72
Bionicle Heroes,0.04,52
BioShock,2.83,96
BioShock,0.41,96
BioShock,1.42,94
BioShock 2,2.2,88
BioShock 2,1.54,88
BioShock Infinite,1.93,93
BioShock Infinite,1.69,94
BioShock Infinite,0.66,94
BioShock The Collection,0.37,84
BioShock The Collection,0.16,84
Birds of Steel,0.23,73
Birds of Steel,0.15,77
BIT.TRIP COMPLETE,0.09,84
BIT.TRIP SAGA,0.14,75
Black,1.25,79
Black,0.42,77
Black * Rock Shooter: The Game,0.15,66
Black Sigil: Blade of the Exiled,0.05,58
Blacksite: Area 51,0.57,62
Blacksite: Area 51,0.08,56
Blackthorne,0.01,67
Blackwater,0.12,37
Blade Dancer: Lineage of Light,0.06,60
Blade II,0.31,49
Blade II,0.13,53
Blades of Time,0.1,52
Blades of Time,0.1,53
Bladestorm: Nightmare,0.17,58
Bladestorm: Nightmare,0.05,48
Bladestorm: The Hundred Years' War,0.28,58
Bladestorm: The Hundred Years' War,0.09,63
