Name,Critic_Score
Blazing Angels 2: Secret Missions of WWII,72
Bleach: Dark Souls,82
Bleach: Shattered Blade,58
Bleach: Soul Resurreccion,58
Bleach: The 3rd Phantom,59
Bleach: The Blade of Fate,83
Blinx: The Time Sweeper,71
Blitz: The League,78
Blitz: The League,76
Blitz: The League,69
Blitz: The League II,62
Blitz: The League II,68
Bloodborne,92
Blood Bowl,61
Blood Bowl,72
Blood Bowl: Legendary Edition,73
Blood Drive,40
Blood Drive,47
Blood Omen 2,67
Blood Omen 2,76
BloodRayne,75
BloodRayne,76
BloodRayne,73
BloodRayne 2,70
BloodRayne 2,71
Blood Wake,71
Bloody Roar: Primal Fury,75
Bloody Roar 3,71
Bloody Roar 4,59
Bloody Roar Extreme,61
BlowOut,58
Blue Dragon,79
Blue Dragon: Awakened Shadow,63
Blue Dragon Plus,69
Blur,81
Blur,82
Blur,81
BMX XXX,54
BMX XXX,58
BMX XXX,60
Body and Brain Connection,57
Bodycount,50
Bodycount,53
Boktai: The Sun is in Your Hand,83
Boktai 2: Solar Boy Django,78
Bolt,50
Bolt,57
Bolt,59
Bombastic,72
Bomberman,75
Bomberman,73
Bomberman: Act Zero,34
Bomberman Generation,81
Bomberman Jetters,70
Bomberman Land,57
Bomberman Land,55
Bomberman Party Edition,79
Boogie,57
Boom Blox,85
Boom Blox Bash Party,86
Borderlands,84
Borderlands,83
Borderlands,81
Borderlands: The Handsome Collection,82
Borderlands: The Handsome Collection,80
Borderlands: The Pre-Sequel,74
Borderlands: The Pre-Sequel,77
Borderlands: The Pre-Sequel,75
Borderlands 2,89
Borderlands 2,91
Borderlands 2,89
Borderlands 2,64
Botanicula,82
Bound By Flame,53
Bounty Hounds,63
Braid,90
Brain Age: Concentration Training,71
Brain Age: Train Your Brain in Minutes a Day,77
Brain Age 2: More Training in Minutes a Day,77
Brain Boost: Beta Wave,39
Brain Challenge,68
Brandish: The Dark Revenant,78
Bratz: Rock Angelz,60
Brave: A Warrior's Tale,42
Brave Fencer Musashi,81
Bravely Second: End Layer,81
Breach,61
Breakdown,71
Breath of Fire,79
Breath of Fire: Dragon Quarter,78
Breath of Fire II,81
Breath of Fire IV,83
Brink,68
Brink,72
Brink,70
Britney's Dance Beat,63
Britney's Dance Beat,53
Broken Sword: Shadow of the Templars - The Director's Cut,74
Broken Sword: The Shadow of the Templars,80
Broken Sword: The Sleeping Dragon,77
Broken Sword 5: The Serpent's Curse,72
Broken Sword 5: The Serpent's Curse,77
Brothers: A Tale of Two Sons,81
Brothers: A Tale of Two Sons,81
Brothers In Arms: D-Day,65
Brothers in Arms: Double Time,45
Brothers In Arms: Earned in Blood,71
Brothers In Arms: Earned in Blood,85
Brothers in Arms: Hell's Highway,76
Brothers in Arms: Hell's Highway,76
